name,number_of_GFP_kernels,number_of_WT_kernels,cross_type,allele,year,Fiji_or_Earvision,TotalK,TransmissionRate
Y40-1x1,216,236,Ear,R31B01,2019,E,452,47.80%
Y40-5x1,264,217,Ear,R31B01,2019,E,481,54.90%
Y40-2x1,249,247,Ear,R31B01,2019,E,496,50.20%
X439-1x402,107,94,Ear,R31H05,2018,E,201,53.20%
Y2x62-3,126,126,Pollen,R31H05,2019,E,252,50.00%
X439-3x402,167,148,Ear,R31H05,2018,E,315,53.00%
X402x439-1m3,156,167,Pollen,R31H05,2018,E,323,48.30%
X402x439-4m1,168,178,Pollen,R31H05,2018,E,346,48.60%
X402x439-1m2,193,156,Pollen,R31H05,2018,E,349,55.30%
X403x439-3m1,202,189,Pollen,R31H05,2018,E,391,51.70%
Y2x62-2,202,193,Pollen,R31H05,2019,E,395,51.10%
Y2x62-1,208,196,Pollen,R31H05,2019,E,404,51.50%
Y62-3x1,209,235,Ear,R31H05,2019,E,444,47.10%
X401x439-2m1,213,234,Pollen,R31H05,2018,E,447,47.70%
X401x439-1m1,223,235,Pollen,R31H05,2018,E,458,48.70%
Y62-2x1,249,214,Ear,R31H05,2019,E,463,53.80%
Y62-1x1,253,231,Ear,R31H05,2019,E,484,52.30%
Y17-5x1,149,162,Ear,R32B05,2019,E,311,47.90%
X401x524-1m3,172,166,Pollen,R32B05,2018,E,338,50.90%
X402x524-1m2,140,198,Pollen,R32B05,2018,E,338,41.40%
X402x487A-1m2,175,183,Pollen,R32B05,2018,E,358,48.90%
Y2x17-1,197,191,Pollen,R32B05,2019,E,388,50.80%
X402x487B-2m1,169,224,Pollen,R32B05,2018,E,393,43.00%
X402x487A-1m1,206,195,Pollen,R32B05,2018,E,401,51.40%
X487A-1x402,200,203,Ear,R32B05,2018,E,403,49.60%
Y2x17-2,219,205,Pollen,R32B05,2019,E,424,51.70%
Y2x17-4,204,226,Pollen,R32B05,2019,E,430,47.40%
Y17-4x1,226,215,Ear,R32B05,2019,E,441,51.20%
Y17-2x1,217,229,Ear,R32B05,2019,E,446,48.70%
Y2x17-3,238,247,Pollen,R32B05,2019,E,485,49.10%
Y17-1x1,260,226,Ear,R32B05,2019,E,486,53.50%
X402x524-1m1,238,258,Pollen,R32B05,2018,E,496,48.00%
Y17-3x1,256,262,Ear,R32B05,2019,E,518,49.40%
Y2x54-1,52,52,Pollen,R33F03,2019,E,104,50.00%
Y54-3x1,67,67,Ear,R33F03,2019,F,134,50.00%
X440L-2x402,121,111,Ear,R33F03,2018,E,232,52.20%
X440-1x402,120,118,Ear,R33F03,2018,E,238,50.40%
B2x563-4,118,133,Pollen,R33F03,2022,E,251,47.00%
A17-2x102,134,125,Ear,R33F03,2021,E,259,51.70%
X400X440L-2m1,120,149,Pollen,R33F03,2018,E,269,44.60%
X401x440-3m1,124,166,Pollen,R33F03,2018,E,290,42.80%
Y2x54-5,146,147,Pollen,R33F03,2019,E,293,49.80%
B2x563-2_m2,124,169,Pollen,R33F03,2022,E,293,42.30%
B2x563-3,124,172,Pollen,R33F03,2022,E,296,41.90%
A17-6x102,158,159,Ear,R33F03,2021,E,317,49.80%
Y54-6x1,143,175,Ear,R33F03,2019,E,318,45.00%
B2x563-1,155,178,Pollen,R33F03,2022,E,333,46.50%
B2x563-1_m1,155,178,Pollen,R33F03,2022,E,333,46.50%
Y2x54-2,162,179,Pollen,R33F03,2019,E,341,47.50%
Y2x54-4,144,202,Pollen,R33F03,2019,E,346,41.60%
A102x17-2,161,199,Pollen,R33F03,2021,E,360,44.70%
B2x563-1_m2,176,184,Pollen,R33F03,2022,E,360,48.90%
A102x17-6,184,185,Pollen,R33F03,2021,E,369,49.90%
X402x440-1m3,166,205,Pollen,R33F03,2018,E,371,44.70%
A102x17-1,186,195,Pollen,R33F03,2021,E,381,48.80%
B2x563-2_m1,148,240,Pollen,R33F03,2022,E,388,38.10%
Y2x54-6,178,243,Pollen,R33F03,2019,E,421,42.30%
Y54-1x1,213,213,Ear,R33F03,2019,E,426,50.00%
X402x440-1m1,201,247,Pollen,R33F03,2018,E,448,44.90%
X401x440-2m1,192,262,Pollen,R33F03,2018,E,454,42.30%
B563-2x2,242,218,Ear,R33F03,2022,E,460,52.60%
Y85-4x1,98,101,Ear,R34C11,2019,F,199,49.20%
B778B-2x2,105,100,Ear,R34C11,2022,E,205,51.20%
X488-2x402,132,125,Ear,R34C11,2018,E,257,51.40%
B778A-5x2,129,130,Ear,R34C11,2022,E,259,49.80%
Y2x85-4,167,194,Pollen,R34C11,2019,F,361,46.30%
B778A-1x2,174,189,Ear,R34C11,2022,E,363,47.90%
Y2x85-5,171,203,Pollen,R34C11,2019,E,374,45.70%
Y2x85-6,173,212,Pollen,R34C11,2019,E,385,44.90%
Y85-6x1,209,187,Ear,R34C11,2019,E,396,52.80%
Y2x85-1,194,203,Pollen,R34C11,2019,E,397,48.90%
X403x488-3m3,209,199,Pollen,R34C11,2018,E,408,51.20%
X401x488-1m1,245,248,Pollen,R34C11,2018,E,493,49.70%
X488-1x402T,259,243,Ear,R34C11,2018,E,502,51.60%
X402x488-3m1,215,295,Pollen,R34C11,2018,E,510,42.20%
Y85-1x1,284,235,Ear,R34C11,2019,E,519,54.70%
Y85-5x1,295,230,Ear,R34C11,2019,E,525,56.20%
X402x488-3m2,283,283,Pollen,R34C11,2018,E,566,50.00%
X402x488-2m1,297,287,Pollen,R34C11,2018,E,584,50.90%
Y2x82-13,146,145,Pollen,R35A08,2019,E,291,50.20%
X442-2x402,135,161,Ear,R35A08,2018,E,296,45.60%
X401x442-2m1,140,160,Pollen,R35A08,2018,E,300,46.70%
Y2x82-12,148,157,Pollen,R35A08,2019,E,305,48.50%
Y82-8x1,185,154,Ear,R35A08,2019,E,339,54.60%
Y2x82-8,178,170,Pollen,R35A08,2019,E,348,51.10%
Y82-13x1,183,195,Ear,R35A08,2019,E,378,48.40%
Y82-12x1,228,187,Ear,R35A08,2019,E,415,54.90%
Y2x83-1,217,207,Pollen,R35A08,2019,E,424,51.20%
X401x442-1m1,199,228,Pollen,R35A08,2018,E,427,46.60%
Y2x82-11,225,209,Pollen,R35A08,2019,E,434,51.80%
X442-1x402,212,226,Ear,R35A08,2018,E,438,48.40%
Y82-11x1,208,233,Ear,R35A08,2019,E,441,47.20%
Y82-7x1,237,227,Ear,R35A08,2019,E,464,51.10%
Y83-5x1,250,233,Ear,R35A08,2019,E,483,51.80%
Y2x83-5,252,249,Pollen,R35A08,2019,E,501,50.30%
Y83-1x1,274,262,Ear,R35A08,2019,E,536,51.10%
Y82-10x1,265,299,Ear,R35A08,2019,E,564,47.00%
Y48A-1x1,176,165,Ear,R37A04,2019,E,341,51.60%
Y2x48A-1,172,175,Pollen,R37A04,2019,E,347,49.60%
Y48A-3x1,192,180,Ear,R37A04,2019,E,372,51.60%
Y2x48-3,186,214,Pollen,R37A04,2019,E,400,46.50%
Y48A-2x1,200,208,Ear,R37A04,2019,E,408,49.00%
Y47-2x1,215,213,Ear,R37A04,2019,E,428,50.20%
Y48A-4x1,214,215,Ear,R37A04,2019,E,429,49.90%
Y2x48A-2,237,193,Pollen,R37A04,2019,E,430,55.10%
Y2x48A-5,234,197,Pollen,R37A04,2019,E,431,54.30%
Y47-4x1,242,218,Ear,R37A04,2019,E,460,52.60%
Y2x47-4,213,260,Pollen,R37A04,2019,E,473,45.00%
Y2x48A-4,239,239,Pollen,R37A04,2019,E,478,50.00%
Y2x47-3,226,261,Pollen,R37A04,2019,E,487,46.40%
Y2x47-2,261,245,Pollen,R37A04,2019,E,506,51.60%
Y47-3x1,260,257,Ear,R37A04,2019,E,517,50.30%
Y48A-5x1,282,244,Ear,R37A04,2019,E,526,53.60%
Y47-1x1,292,298,Ear,R37A04,2019,E,590,49.50%
Y47-5x1,352,298,Ear,R37A04,2019,E,650,54.20%
X445-2x402,152,139,Ear,R41F01,2018,E,291,52.20%
X445-4x402,167,160,Ear,R41F01,2018,E,327,51.10%
X445L-3x402,167,173,Ear,R41F01,2018,E,340,49.10%
X445-1x402,170,171,Ear,R41F01,2018,E,341,49.90%
X400x445L-3m1,170,181,Pollen,R41F01,2018,E,351,48.40%
X401x445-1m1,192,160,Pollen,R41F01,2018,E,352,54.50%
Y2x56-3,165,196,Pollen,R41F01,2019,E,361,45.70%
Y56-2x1,197,185,Ear,R41F01,2019,E,382,51.60%
X402x445-2m2,212,237,Pollen,R41F01,2018,E,449,47.20%
Y2x56-1,224,245,Pollen,R41F01,2019,E,469,47.80%
X403x445-4m1,242,231,Pollen,R41F01,2018,E,473,51.20%
X401x445-2m1,242,255,Pollen,R41F01,2018,F,497,48.70%
Y56-3x1,255,247,Ear,R41F01,2019,E,502,50.80%
X402x445-2m3,251,266,Pollen,R41F01,2018,E,517,48.50%
Y56-4x1,299,277,Ear,R41F01,2019,E,576,51.90%
Y2x81-3m2,69,89,Pollen,R44E07,2019,F,158,43.70%
Y2x81-1,107,103,Pollen,R44E07,2019,E,210,51.00%
X400x446L-2m1,139,136,Pollen,R44E07,2018,E,275,50.50%
Y2x81-4,173,144,Pollen,R44E07,2019,E,317,54.60%
Y81-4x1,171,174,Ear,R44E07,2019,E,345,49.60%
X446L-2x402,197,181,Ear,R44E07,2018,E,378,52.10%
Y2x81-5,184,199,Pollen,R44E07,2019,E,383,48.00%
Y2x81-2,211,217,Pollen,R44E07,2019,E,428,49.30%
Y81-3x1,228,231,Ear,R44E07,2019,E,459,49.70%
Y81-6x1,252,239,Ear,R44E07,2019,E,491,51.30%
Y2x81-3m1,276,274,Pollen,R44E07,2019,E,550,50.20%
Y81-1x1,310,296,Ear,R44E07,2019,E,606,51.20%
Y81-5x1,339,303,Ear,R44E07,2019,E,642,52.80%
X489-4x402,68,69,Ear,R45E04,2018,E,137,49.60%
X403x520L-1m1,158,142,Pollen,R45E04,2018,E,300,52.70%
Y2x75-2,165,155,Pollen,R45E04,2019,E,320,51.60%
X401x520-1m1,171,151,Pollen,R45E04,2018,E,322,53.10%
X400x520L-2m1,174,165,Pollen,R45E04,2018,E,339,51.30%
X402x489-3m1,183,171,Pollen,R45E04,2018,E,354,51.70%
X401x520-2m1,191,202,Pollen,R45E04,2018,E,393,48.60%
X489-3x402,205,227,Ear,R45E04,2018,E,432,47.50%
Y2x75-6,231,230,Pollen,R45E04,2019,E,461,50.10%
Y75-4x1,249,222,Ear,R45E04,2019,E,471,52.90%
X402x489-3m3,241,234,Pollen,R45E04,2018,E,475,50.70%
Y75-2x1,242,234,Ear,R45E04,2019,E,476,50.80%
Y75-1x1,269,214,Ear,R45E04,2019,E,483,55.70%
X402x489-4m1,228,261,Pollen,R45E04,2018,E,489,46.60%
X402x489-3m2,252,239,Pollen,R45E04,2018,E,491,51.30%
Y75-6x1,256,246,Ear,R45E04,2019,E,502,51.00%
Y75-5x1,267,257,Ear,R45E04,2019,E,524,51.00%
X401x489-5m1,277,248,Pollen,R45E04,2018,E,525,52.80%
X447-1x402,129,128,Ear,R46C04,2018,E,257,50.20%
X447-4x402,142,134,Ear,R46C04,2018,E,276,51.40%
Y2x43-5,133,163,Pollen,R46C04,2019,E,296,44.90%
X403x447-3m4,173,146,Pollen,R46C04,2018,E,319,54.20%
X402x447-3m3,165,160,Pollen,R46C04,2018,E,325,50.80%
X447-3x402,178,180,Ear,R46C04,2018,E,358,49.70%
Y43-1x1,223,179,Ear,R46C04,2019,E,402,55.50%
Y43-5x1,214,217,Ear,R46C04,2019,E,431,49.70%
Y43-4x1,235,204,Ear,R46C04,2019,E,439,53.50%
Y2x43-4,237,217,Pollen,R46C04,2019,E,454,52.20%
X402x447-1m1,229,238,Pollen,R46C04,2018,E,467,49.00%
X402x447-3m2,262,230,Pollen,R46C04,2018,E,492,53.30%
Y43-3x1,271,264,Ear,R46C04,2019,E,535,50.70%
X402x447-4m1,279,263,Pollen,R46C04,2018,E,542,51.50%
X402x447-3m1,284,284,Pollen,R46C04,2018,E,568,50.00%
Z2x297A-4,68,53,Pollen,R49F11,2020,E,121,56.20%
X402x490-3m1,88,144,Pollen,R49F11,2018,E,232,37.90%
A19-1x102,130,125,Ear,R49F11,2021,E,255,51.00%
Z1x284-5_m1,129,138,Pollen,R49F11,2020,E,267,48.30%
A102x19-2,121,159,Pollen,R49F11,2021,E,280,43.20%
Y2x69-4,112,169,Pollen,R49F11,2019,E,281,39.90%
A102x19-1,132,163,Pollen,R49F11,2021,E,295,44.70%
Y2x69-1,147,175,Pollen,R49F11,2019,E,322,45.70%
Y2x69-6,144,180,Pollen,R49F11,2019,E,324,44.40%
Z2x297A-1,127,198,Pollen,R49F11,2020,F,325,39.10%
A102x19-7,155,170,Pollen,R49F11,2021,E,325,47.70%
A102x19-5,139,193,Pollen,R49F11,2021,E,332,41.90%
X490-3x402,176,189,Ear,R49F11,2018,E,365,48.20%
X490-1x402,194,181,Ear,R49F11,2018,E,375,51.70%
Y69-3x1,195,194,Ear,R49F11,2019,E,389,50.10%
Y2x271-2m3,189,206,Pollen,R49F11,2019,F,395,47.80%
Y2x69-5,167,233,Pollen,R49F11,2019,E,400,41.80%
Z2x297A-9,188,213,Pollen,R49F11,2020,E,401,46.90%
Z1x284-3_m1,187,236,Pollen,R49F11,2020,E,423,44.20%
Y69-4x1,205,223,Ear,R49F11,2019,E,428,47.90%
X402x490-5m3,193,251,Pollen,R49F11,2018,E,444,43.50%
Z2x297A-5,184,268,Pollen,R49F11,2020,E,452,40.70%
Y69-6x1,233,223,Ear,R49F11,2019,E,456,51.10%
Y2x69-3,231,237,Pollen,R49F11,2019,E,468,49.40%
X490-5x402,237,234,Ear,R49F11,2018,E,471,50.30%
Y69-5x1,252,236,Ear,R49F11,2019,E,488,51.60%
Y69-1x1,281,231,Ear,R49F11,2019,E,512,54.90%
X402x490-5m1,246,271,Pollen,R49F11,2018,E,517,47.60%
X402x490-5m2,210,310,Pollen,R49F11,2018,E,520,40.40%
X401x490-1m1,248,297,Pollen,R49F11,2018,E,545,45.50%
Y2x271-2m1,278,305,Pollen,R49F11,2019,F,583,47.70%
X402x449A-1m3,75,84,Pollen,R52B09,2018,E,159,47.20%
Y2x53-6,104,92,Pollen,R52B09,2019,E,196,53.10%
X402x449A-1m4,114,127,Pollen,R52B09,2018,E,241,47.30%
Y2x53-3,156,130,Pollen,R52B09,2019,E,286,54.50%
X402x449A-1m2,160,142,Pollen,R52B09,2018,E,302,53.00%
X402x449A-1m1,154,173,Pollen,R52B09,2018,E,327,47.10%
Y53-2x1,191,159,Ear,R52B09,2019,E,350,54.60%
A102x20-5,207,153,Pollen,R52B09,2021,E,360,57.50%
A102x20-3,213,149,Pollen,R52B09,2021,E,362,58.80%
A102x20-6,187,175,Pollen,R52B09,2021,E,362,51.70%
Y2x53-4,200,169,Pollen,R52B09,2019,E,369,54.20%
A102x20-7,190,185,Pollen,R52B09,2021,E,375,50.70%
A102x20-4,195,182,Pollen,R52B09,2021,E,377,51.70%
A20x102,192,193,Ear,R52B09,2021,E,385,49.90%
Y53-4x1,180,207,Ear,R52B09,2019,E,387,46.50%
A20-4x102,223,184,Ear,R52B09,2021,E,407,54.80%
Y2x53-2,226,190,Pollen,R52B09,2019,F,416,54.30%
A20-5x102,243,203,Ear,R52B09,2021,E,446,54.50%
Y53-6x1,237,240,Ear,R52B09,2019,E,477,49.70%
Y53-5x1,271,250,Ear,R52B09,2019,E,521,52.00%
Y53-3x1,276,282,Ear,R52B09,2019,E,558,49.50%
Y2x53-1,273,286,Pollen,R52B09,2019,E,559,48.80%
Y53-1x1,312,289,Ear,R52B09,2019,E,601,51.90%
X450-1x402,125,99,Ear,R52E07,2018,E,224,55.80%
Y51-2x1,139,142,Ear,R52E07,2019,E,281,49.50%
Y2x51-3,153,155,Pollen,R52E07,2019,E,308,49.70%
Y2x51-1,156,164,Pollen,R52E07,2019,E,320,48.80%
Y2x51-4,174,181,Pollen,R52E07,2019,E,355,49.00%
X450-2x402,161,196,Ear,R52E07,2018,E,357,45.10%
Y2x51-6,166,196,Pollen,R52E07,2019,E,362,45.90%
Y51-4x1,206,188,Ear,R52E07,2019,E,394,52.30%
X402x450-1m1,169,230,Pollen,R52E07,2018,E,399,42.40%
X402x450-2m2,199,203,Pollen,R52E07,2018,E,402,49.50%
X402x450-2m3,186,221,Pollen,R52E07,2018,E,407,45.70%
Y2x52-1,224,236,Pollen,R52E07,2019,E,460,48.70%
Y51-6x1,228,253,Ear,R52E07,2019,E,481,47.40%
X402x450-2m1,235,257,Pollen,R52E07,2018,E,492,47.80%
Y2x52-3,251,252,Pollen,R52E07,2019,E,503,49.90%
Y52-2x1,276,266,Ear,R52E07,2019,E,542,50.90%
Y51-1x1,296,260,Ear,R52E07,2019,E,556,53.20%
Y52-1x1,301,320,Ear,R52E07,2019,E,621,48.50%
X451A-1x402,70,68,Ear,R53C03,2018,E,138,50.70%
X451A-4x402,79,98,Ear,R53C03,2018,E,177,44.60%
Y2x63-5,110,103,Pollen,R53C03,2019,E,213,51.60%
Y2x64-4,138,127,Pollen,R53C03,2019,F,265,52.10%
X451A-5x402,139,134,Ear,R53C03,2018,E,273,50.90%
Y64-4x1,172,153,Ear,R53C03,2019,E,325,52.90%
Y2x64-3,142,183,Pollen,R53C03,2019,E,325,43.70%
Y2x63-2,189,169,Pollen,R53C03,2019,E,358,52.80%
X402x451A-5m1,186,177,Pollen,R53C03,2018,E,363,51.20%
Y63-5x1,188,179,Ear,R53C03,2019,E,367,51.20%
Y2x63-1,208,176,Pollen,R53C03,2019,E,384,54.20%
Y2x63-7,202,183,Pollen,R53C03,2019,E,385,52.50%
X402x451A-1m1,220,194,Pollen,R53C03,2018,E,414,53.10%
X402x451A-4m1,207,210,Pollen,R53C03,2018,E,417,49.60%
Y63-7x1,219,209,Ear,R53C03,2019,E,428,51.20%
Y63-3x1,225,211,Ear,R53C03,2019,E,436,51.60%
X402x451A-4m2,230,216,Pollen,R53C03,2018,E,446,51.60%
Y64-3x1,228,234,Ear,R53C03,2019,E,462,49.40%
Y63-2x1,229,235,Ear,R53C03,2019,E,464,49.40%
X402x451A-5m2,234,256,Pollen,R53C03,2018,E,490,47.80%
Y63-1x1,236,264,Ear,R53C03,2019,E,500,47.20%
X454-3x402,70,83,Ear,R60D10,2018,E,153,45.80%
X454L-1x402,105,88,Ear,R60D10,2018,E,193,54.40%
X402x454-3m1,154,161,Pollen,R60D10,2018,E,315,48.90%
Y2x46-3,176,190,Pollen,R60D10,2019,E,366,48.10%
Y46-1x1,203,187,Ear,R60D10,2019,E,390,52.10%
X403x454-3m4,233,213,Pollen,R60D10,2018,E,446,52.20%
Y46-2x1,250,217,Ear,R60D10,2019,E,467,53.50%
Y2x46-1,261,208,Pollen,R60D10,2019,E,469,55.70%
Y46-6x1,260,236,Ear,R60D10,2019,E,496,52.40%
Y46-3x1,294,242,Ear,R60D10,2019,E,536,54.90%
X402x454-3m2,268,280,Pollen,R60D10,2018,E,548,48.90%
Y2x46-2,275,280,Pollen,R60D10,2019,E,555,49.50%
Y2x46-6,306,267,Pollen,R60D10,2019,E,573,53.40%
X402x454-3m3,305,285,Pollen,R60D10,2018,E,590,51.70%
X456-2x402,58,69,Ear,R63F09,2018,E,127,45.70%
X456L-3x402,73,75,Ear,R63F09,2018,E,148,49.30%
X402x456-2m3,76,77,Pollen,R63F09,2018,E,153,49.70%
X402x456L-3m1,137,141,Pollen,R63F09,2018,E,278,49.30%
Y2x25-3,137,146,Pollen,R63F09,2019,F,283,48.40%
X456L-1x402,154,146,Ear,R63F09,2018,E,300,51.30%
Y2x25-1,165,173,Pollen,R63F09,2019,E,338,48.80%
Y2x25-5m3,169,196,Pollen,R63F09,2019,E,365,46.30%
Y2x25-6,181,193,Pollen,R63F09,2019,E,374,48.40%
Y25-1x1,223,232,Ear,R63F09,2019,E,455,49.00%
Y25-2x1,240,231,Ear,R63F09,2019,E,471,51.00%
X402x456-2m2,224,249,Pollen,R63F09,2018,E,473,47.40%
Y25-6x1,268,235,Ear,R63F09,2019,E,503,53.30%
Y25-3x1,261,244,Ear,R63F09,2019,E,505,51.70%
Y2x25-5m1,289,251,Pollen,R63F09,2019,E,540,53.50%
Y25-5x1,286,256,Ear,R63F09,2019,E,542,52.80%
X402x456L-1m1,281,291,Pollen,R63F09,2018,E,572,49.10%
Y2x25-5m2,291,290,Pollen,R63F09,2019,F,581,50.10%
Y2x25-2,280,309,Pollen,R63F09,2019,F,589,47.50%
X402x456-2m1,311,303,Pollen,R63F09,2018,E,614,50.70%
A102x35-4,80,91,Pollen,R65A10,2021,E,171,46.80%
Y74-5x1,111,91,Ear,R65A10,2019,E,202,55.00%
A35-7x102,142,126,Ear,R65A10,2021,E,268,53.00%
X400x457-1m2,157,137,Pollen,R65A10,2018,E,294,53.40%
Y2x74-4,149,146,Pollen,R65A10,2019,E,295,50.50%
A102x35-5,130,166,Pollen,R65A10,2021,E,296,43.90%
A102x35-6,147,174,Pollen,R65A10,2021,E,321,45.80%
X400x457-1m1,173,162,Pollen,R65A10,2018,E,335,51.60%
X457-1x402,169,169,Ear,R65A10,2018,E,338,50.00%
A35-4x102,179,159,Ear,R65A10,2021,E,338,53.00%
A102x35-2,169,175,Pollen,R65A10,2021,E,344,49.10%
Y2x74G-2,209,144,Pollen,R65A10,2019,E,353,59.20%
Y2x74-5,177,179,Pollen,R65A10,2019,E,356,49.70%
A102x35-3,180,188,Pollen,R65A10,2021,E,368,48.90%
A35-3x102,213,202,Ear,R65A10,2021,E,415,51.30%
A102x35-7,193,226,Pollen,R65A10,2021,E,419,46.10%
Y2x74-3,230,190,Pollen,R65A10,2019,E,420,54.80%
X402x457-1m4,227,221,Pollen,R65A10,2018,E,448,50.70%
Y74G-3x1,220,232,Ear,R65A10,2019,E,452,48.70%
Y74G-2x1,233,220,Ear,R65A10,2019,E,453,51.40%
X402x457-1m3,230,230,Pollen,R65A10,2018,E,460,50.00%
Y74-3x1,245,218,Ear,R65A10,2019,E,463,52.90%
Y74-2x1,255,222,Ear,R65A10,2019,E,477,53.50%
Y2x74G-3,255,228,Pollen,R65A10,2019,E,483,52.80%
Y74-1x1,265,234,Ear,R65A10,2019,E,499,53.10%
Y74-4x1,261,276,Ear,R65A10,2019,E,537,48.60%
X402x458-2-3m3,70,57,Pollen,R65E02,2018,E,127,55.10%
Y2x84-1,95,91,Pollen,R65E02,2019,F,186,51.10%
X458-1x402,102,118,Ear,R65E02,2018,E,220,46.40%
X402x458-1m3,143,163,Pollen,R65E02,2018,E,306,46.70%
Y2x84-3,169,174,Pollen,R65E02,2019,E,343,49.30%
X402x458-2-3m1,180,186,Pollen,R65E02,2018,E,366,49.20%
Y2x84-6,181,207,Pollen,R65E02,2019,E,388,46.60%
Y84-4x1,209,211,Ear,R65E02,2019,E,420,49.80%
Y84-1x1,210,217,Ear,R65E02,2019,E,427,49.20%
X402x458-1m2,204,230,Pollen,R65E02,2018,E,434,47.00%
Y84-5x1,232,213,Ear,R65E02,2019,E,445,52.10%
Y2x84-5,222,240,Pollen,R65E02,2019,E,462,48.10%
X402x458-1m1,239,246,Pollen,R65E02,2018,E,485,49.30%
Y84-3x1,278,230,Ear,R65E02,2019,E,508,54.70%
Y84-6x1,263,256,Ear,R65E02,2019,E,519,50.70%
Y84-2x1,306,282,Ear,R65E02,2019,E,588,52.00%
X459-3x402,126,118,Ear,R67C09,2018,E,244,51.60%
X459L-1x402,153,109,Ear,R67C09,2018,E,262,58.40%
Y2x72-2,141,133,Pollen,R67C09,2019,E,274,51.50%
X400x459-3m2,143,171,Pollen,R67C09,2018,E,314,45.50%
X459-2x402,172,143,Ear,R67C09,2018,E,315,54.60%
A21-8x102,175,150,Ear,R67C09,2021,E,325,53.80%
Y2x282A-6,135,194,Pollen,R67C09,2019,F,329,41.00%
A102x21-2,165,167,Pollen,R67C09,2021,E,332,49.70%
X402x459-3m3,149,192,Pollen,R67C09,2018,E,341,43.70%
Y2x72-6m2,157,184,Pollen,R67C09,2019,E,341,46.00%
A21-2x102,175,182,Ear,R67C09,2021,E,357,49.00%
A102x21-7,185,178,Pollen,R67C09,2021,E,363,51.00%
Y72-6x1,195,179,Ear,R67C09,2019,E,374,52.10%
B2x565-1_m1,179,196,Pollen,R67C09,2022,E,375,47.70%
A102x21-8,203,200,Pollen,R67C09,2021,E,403,50.40%
A21-5x102,212,200,Ear,R67C09,2021,E,412,51.50%
A102x21-5,208,205,Pollen,R67C09,2021,E,413,50.40%
B2x565-1_m2,196,220,Pollen,R67C09,2022,E,416,47.10%
Y2x72-3,210,221,Pollen,R67C09,2019,E,431,48.70%
Y72-3x1,234,212,Ear,R67C09,2019,E,446,52.50%
Y72-2x1,225,224,Ear,R67C09,2019,E,449,50.10%
X401x459-2m1,224,239,Pollen,R67C09,2018,E,463,48.40%
Y72-1x1,237,255,Ear,R67C09,2019,E,492,48.20%
Y2x72-6m1,231,276,Pollen,R67C09,2019,E,507,45.60%
X402x459-3m1,218,330,Pollen,R67C09,2018,E,548,39.80%
Y2x76-6,77,65,Pollen,R69C04,2019,E,142,54.20%
A102x22-4,146,117,Pollen,R69C04,2021,E,263,55.50%
A102x22-3,146,147,Pollen,R69C04,2021,E,293,49.80%
A22-4x102,167,138,Ear,R69C04,2021,E,305,54.80%
A22-2x102,170,149,Ear,R69C04,2021,E,319,53.30%
A102x22-2,188,161,Pollen,R69C04,2021,E,349,53.90%
Y2x76-5,187,181,Pollen,R69C04,2019,E,368,50.80%
Y76-1x1,210,208,Ear,R69C04,2019,E,418,50.20%
Y2x76-3,214,208,Pollen,R69C04,2019,E,422,50.70%
A102x22-8,247,177,Pollen,R69C04,2021,E,424,58.30%
Y76-6x1,229,221,Ear,R69C04,2019,E,450,50.90%
A22-8x102,224,231,Ear,R69C04,2021,E,455,49.20%
Y76-3x1,254,242,Ear,R69C04,2019,E,496,51.20%
Y76-5x1,271,273,Ear,R69C04,2019,E,544,49.80%
X462A-1x402,117,123,Ear,R72D11,2018,E,240,48.80%
Y2x80-6,128,136,Pollen,R72D11,2019,E,264,48.50%
X462A-3x402,143,144,Ear,R72D11,2018,E,287,49.80%
X402x462A-1m1,155,198,Pollen,R72D11,2018,E,353,43.90%
Y2x80-3,182,171,Pollen,R72D11,2019,E,353,51.60%
Y2x80-2,187,192,Pollen,R72D11,2019,E,379,49.30%
X401x462A-3m1,200,205,Pollen,R72D11,2018,E,405,49.40%
X402x462A-3m4,211,196,Pollen,R72D11,2018,E,407,51.80%
Y2x80-1,215,218,Pollen,R72D11,2019,E,433,49.70%
Y80-6x1,219,245,Ear,R72D11,2019,E,464,47.20%
Y2x80-5,219,248,Pollen,R72D11,2019,E,467,46.90%
Y80-3x1,234,235,Ear,R72D11,2019,E,469,49.90%
Y80-5x1,258,246,Ear,R72D11,2019,E,504,51.20%
Y80-1x1,240,274,Ear,R72D11,2019,E,514,46.70%
Y80-2x1,309,278,Ear,R72D11,2019,E,587,52.60%
X402x462A-3m3,293,297,Pollen,R72D11,2018,E,590,49.70%
X466L-2x402,53,42,Ear,R77F09,2018,F,95,55.80%
Y2x55-5,104,93,Pollen,R77F09,2019,E,197,52.80%
X466-5x402,101,98,Ear,R77F09,2018,E,199,50.80%
A102x23-6,105,103,Pollen,R77F09,2021,E,208,50.50%
Y2x55-1,113,113,Pollen,R77F09,2019,E,226,50.00%
X466-4x402,117,119,Ear,R77F09,2018,E,236,49.60%
Y55-1x1,127,130,Ear,R77F09,2019,E,257,49.40%
X400x466-4m1,128,135,Pollen,R77F09,2018,E,263,48.70%
Y2x55-2,126,154,Pollen,R77F09,2019,E,280,45.00%
A102x23-4,151,150,Pollen,R77F09,2021,E,301,50.20%
X400x466L-2m1,173,152,Pollen,R77F09,2018,E,325,53.20%
A23-4x102,173,157,Ear,R77F09,2021,E,330,52.40%
